id,fst_scenario,snd_scenario
1,6.0,7.0
2,9.0,10.0
3,7.0,6.0
4,7.0,9.0
5,5.0,5.0
6,8.0,10.0
7,9.0,9.0
8,7.0,6.0
9,9.0,5.0
10,7.0,7.0
11,6.0,7.0
12,7.0,6.0
13,8.0,10.0
14,8.0,9.0
15,5.0,6.0
16,7.0,7.0
17,9.0,9.0
18,9.0,7.0
19,6.0,6.0
20,10.0,10.0
21,8.0,9.0
22,7.0,8.0
23,6.0,3.0
24,7.0,8.0
25,10.0,10.0
26,6.0,8.0
27,9.0,9.0
28,9.0,8.0
29,7.0,8.0
30,10.0,10.0
31,10.0,7.0
32,6.0,8.0
33,8.0,8.0
34,10.0,9.0
35,8.0,8.0
36,9.0,8.0
37,6.0,6.0
38,8.0,10.0
39,9.0,10.0
40,4.0,5.0
41,9.0,8.0
42,5.0,6.0
43,7.0,9.0
44,9.0,10.0
45,10.0,10.0
46,10.0,10.0
47,9.0,8.0
48,8.0,8.0
49,8.0,9.0
50,7.0,7.0
51,9.0,4.0
52,8.0,10.0
53,7.0,8.0
54,6.0,6.0
55,9.0,9.0
56,5.0,6.0
57,10.0,9.0
58,9.0,9.0
59,9.0,8.0
60,5.0,6.0
61,5.0,6.0
62,7.0,7.0
63,7.0,6.0
64,6.0,6.0
65,5.0,8.0
66,8.0,9.0
67,7.0,9.0
68,7.0,6.0
69,6.0,6.0
70,7.0,6.0
71,10.0,10.0
72,10.0,10.0
73,10.0,10.0
74,9.0,10.0
75,9.0,9.0
76,6.0,8.0
77,3.0,5.0
78,10.0,9.0
79,6.0,6.0
80,9.0,9.0
81,10.0,10.0
82,7.0,8.0
83,5.0,7.0
84,9.0,10.0
85,7.0,6.0
86,8.0,8.0
87,10.0,10.0
88,8.0,7.0
89,10.0,10.0
90,8.0,7.0
91,4.0,3.0
92,7.0,7.0
93,6.0,8.0
94,9.0,8.0
95,8.0,7.0
96,10.0,10.0
97,8.0,8.0
98,9.0,10.0
99,10.0,10.0
100,10.0,10.0
101,4.0,7.0
102,6.0,8.0
103,9.0,9.0
104,10.0,10.0
105,6.0,5.0
106,10.0,9.0
107,7.0,7.0
108,8.0,8.0
109,7.0,8.0
110,6.0,7.0
111,9.0,10.0
112,8.0,9.0
113,8.0,8.0
114,5.0,9.0
115,8.0,10.0
116,10.0,6.0
117,9.0,8.0
118,8.0,7.0
119,10.0,9.0
120,10.0,10.0
121,7.0,5.0
122,8.0,8.0
123,7.0,10.0
124,5.0,6.0
125,8.0,7.0
126,7.0,9.0
127,6.0,7.0
128,9.0,10.0
129,4.0,8.0
130,10.0,10.0
131,10.0,10.0
132,9.0,8.0
133,8.0,8.0
134,6.0,6.0
135,10.0,8.0
136,9.0,9.0
137,5.0,9.0
138,9.0,10.0
139,8.0,7.0
140,7.0,9.0
141,6.0,8.0
142,8.0,6.0
143,8.0,7.0
144,9.0,9.0
145,6.0,6.0
146,10.0,9.0
147,7.0,6.0
148,9.0,8.0
149,10.0,9.0
150,9.0,9.0
151,7.0,6.0
152,8.0,8.0
153,6.0,7.0
154,10.0,10.0
155,7.0,6.0
156,7.0,10.0
157,7.0,7.0
158,7.0,8.0
159,9.0,8.0
160,10.0,10.0
161,8.0,9.0
162,7.0,8.0
163,8.0,8.0
164,9.0,10.0
165,4.0,5.0
166,7.0,7.0
167,9.0,9.0
168,9.0,10.0
169,7.0,7.0
170,6.0,5.0
171,10.0,10.0
172,9.0,8.0
173,10.0,9.0
174,8.0,8.0
175,7.0,9.0
176,10.0,10.0
177,8.0,8.0
178,5.0,7.0
179,8.0,9.0
180,7.0,10.0
181,9.0,10.0
182,9.0,7.0
183,6.0,7.0
184,8.0,9.0
185,10.0,9.0
186,10.0,8.0
187,8.0,9.0
188,7.0,7.0
189,8.0,10.0
190,10.0,10.0
191,7.0,5.0
192,8.0,8.0
193,9.0,9.0
194,8.0,7.0
195,6.0,6.0
196,10.0,9.0
197,8.0,7.0
198,6.0,5.0
199,10.0,10.0
200,5.0,6.0
201,9.0,9.0
202,9.0,7.0
203,9.0,9.0
204,9.0,9.0
205,6.0,9.0
206,9.0,10.0
207,7.0,9.0
208,9.0,8.0
209,10.0,10.0
210,10.0,10.0
211,9.0,10.0
212,8.0,6.0
213,7.0,8.0
214,7.0,7.0
215,9.0,9.0
216,8.0,8.0
217,9.0,9.0
218,7.0,7.0
219,9.0,8.0
220,8.0,8.0
221,10.0,10.0
222,6.0,9.0
223,5.0,4.0
224,6.0,6.0
225,5.0,5.0
226,8.0,8.0
227,9.0,9.0
228,9.0,7.0
229,7.0,9.0
230,9.0,10.0
231,7.0,8.0
232,7.0,6.0
233,10.0,10.0
234,10.0,10.0
235,10.0,10.0
236,9.0,9.0
237,10.0,10.0
238,4.0,4.0
239,7.0,6.0
240,8.0,8.0
241,7.0,7.0
242,6.0,7.0
243,5.0,6.0
244,8.0,9.0
245,8.0,6.0
246,10.0,8.0
247,9.0,9.0
248,10.0,10.0
249,4.0,4.0
250,6.0,8.0
251,6.0,6.0
252,5.0,8.0
253,9.0,10.0
254,10.0,9.0
255,6.0,8.0
256,5.0,7.0
257,9.0,10.0
258,9.0,10.0
259,10.0,10.0
260,7.0,9.0
261,10.0,9.0
262,10.0,10.0
263,10.0,10.0
264,7.0,9.0
265,10.0,10.0
266,9.0,8.0
267,9.0,9.0
268,7.0,9.0
269,7.0,6.0
270,6.0,6.0
271,6.0,7.0
272,9.0,8.0
273,9.0,7.0
274,10.0,9.0
275,5.0,6.0
276,8.0,8.0
277,5.0,5.0
278,4.0,7.0
279,6.0,6.0
280,7.0,7.0
281,8.0,8.0
282,9.0,9.0
283,9.0,8.0
284,7.0,7.0
285,10.0,9.0
286,10.0,9.0
287,7.0,6.0
288,4.0,7.0
289,7.0,6.0
290,8.0,8.0
291,9.0,7.0
292,7.0,5.0
293,9.0,9.0
294,10.0,10.0
295,9.0,10.0
296,7.0,6.0
297,10.0,10.0
298,7.0,10.0
299,8.0,10.0
300,6.0,8.0
301,10.0,10.0
302,6.0,5.0
303,8.0,9.0
304,6.0,9.0
305,9.0,9.0
306,8.0,9.0
307,9.0,6.0
308,7.0,7.0
309,10.0,10.0
310,4.0,5.0
311,10.0,10.0
312,7.0,8.0
313,7.0,8.0
314,6.0,9.0
315,6.0,6.0
316,8.0,10.0
317,10.0,10.0
318,6.0,7.0
319,5.0,6.0
320,7.0,7.0
321,7.0,6.0
322,7.0,9.0
323,8.0,6.0
324,6.0,6.0
325,8.0,8.0
326,8.0,8.0
327,6.0,6.0
328,8.0,7.0
329,8.0,9.0
330,8.0,9.0
331,8.0,7.0
332,7.0,8.0
333,8.0,7.0
334,9.0,10.0
335,6.0,8.0
336,7.0,6.0
337,10.0,10.0
338,6.0,8.0
339,9.0,10.0
340,9.0,8.0
341,8.0,7.0
342,6.0,8.0
343,6.0,9.0
344,7.0,6.0
345,9.0,9.0
346,7.0,7.0
347,6.0,8.0
348,7.0,7.0
349,7.0,5.0
350,10.0,9.0
351,7.0,9.0
352,9.0,10.0
353,5.0,7.0
354,9.0,9.0
355,4.0,4.0
356,6.0,6.0
357,9.0,9.0
358,5.0,7.0
359,8.0,7.0
360,6.0,4.0
361,8.0,9.0
362,6.0,6.0
363,7.0,6.0
364,5.0,7.0
365,7.0,8.0
366,9.0,10.0
367,8.0,9.0
368,10.0,9.0
369,6.0,8.0
370,7.0,7.0
371,8.0,7.0
372,10.0,10.0
373,7.0,9.0
374,7.0,5.0
375,10.0,10.0
376,5.0,9.0
377,9.0,10.0
378,10.0,10.0
379,10.0,10.0
380,6.0,7.0
381,7.0,8.0
382,8.0,6.0
383,8.0,8.0
384,8.0,8.0
385,7.0,8.0
386,7.0,8.0
387,8.0,7.0
388,9.0,9.0
389,9.0,10.0
390,6.0,4.0
391,10.0,10.0
392,6.0,4.0
393,8.0,8.0
394,8.0,8.0
395,8.0,8.0
396,8.0,8.0
397,7.0,7.0
398,7.0,8.0
399,8.0,8.0
400,8.0,10.0
401,9.0,10.0
402,7.0,7.0
403,5.0,5.0
404,9.0,9.0
405,8.0,8.0
406,9.0,9.0
407,8.0,9.0
408,10.0,10.0
409,8.0,9.0
410,5.0,4.0
411,7.0,8.0
412,10.0,10.0
413,9.0,9.0
414,9.0,9.0
415,7.0,6.0
416,9.0,10.0
417,8.0,7.0
418,6.0,8.0
419,6.0,8.0
420,8.0,9.0
421,6.0,7.0
422,10.0,9.0
423,10.0,10.0
424,8.0,8.0
425,9.0,9.0
426,7.0,6.0
427,9.0,8.0
428,10.0,10.0
429,6.0,5.0
430,5.0,4.0
431,10.0,10.0
432,10.0,10.0
433,7.0,8.0
434,9.0,6.0
435,7.0,6.0
436,9.0,10.0
437,7.0,7.0
438,9.0,10.0
439,6.0,6.0
440,9.0,8.0
441,7.0,8.0
442,7.0,7.0
443,10.0,10.0
444,8.0,7.0
445,9.0,10.0
446,7.0,10.0
447,10.0,10.0
448,9.0,8.0
449,9.0,9.0
450,10.0,10.0
451,10.0,10.0
452,7.0,7.0
453,7.0,8.0
454,9.0,10.0
455,10.0,10.0
456,5.0,6.0
457,7.0,8.0
458,6.0,8.0
459,7.0,6.0
460,8.0,9.0
461,9.0,10.0
462,7.0,7.0
463,7.0,9.0
464,9.0,8.0
465,7.0,8.0
466,7.0,7.0
467,10.0,9.0
468,7.0,8.0
469,7.0,7.0
