ResponseId,id,"What questions do you still have about TEEs, if any? (medical)",med_distrust,med_risk,med_risk2,med_gen,med_gen2,med_use,med_scenario,med_scenario2,med_guarantees,questions-IoT,iot_distrust,iot_risk,iot_risk2,iot_gen,iot_gen2,iot_use,iot_scenario,iot_scenario2,iot_guarantees,notes,Other feedback,code_feedback,SCENARIO_Med,SCENARIO_IoT,EXPLN,FAQ,Med_First
R_3DtNPfIsUVo7FET,378,None,,,,,,,,,,Why should a TEE make me feel any less weird about how invasive tracking my data is?,Distrust:Vague,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Show,0
R_3gOupvonU31s74C,379,I still would like assurance on how data is protected after the company and relative collectors are done.,,,,,,,,,,"Relative to above, my question would still be what happens to the protections provided by TEEs AFTER the fact?",,,,,,,Scenario:Future,,,,I enjoyed wrestling with some of these concepts and their implications. Thanks for having me!,,Medical-Simple,IoT-Simple,Unsubstantial,Hide,0
R_8mUVmBeywZsPjLi,380,What happens to your data when the research is finished and it is no longer needed. Is there truly a way to completely delete it.,,,,,,,Scenario:Data,,,I would love to see a diagram of this and how it works to even better comprehend the transactions between the TEE and the hardware and software up front.,,,,Gen:How?,,,,,,,How will TEEs evolve?  What is the future for this type of technology. Is there a way to store my personal data for myself in something like a TEE that only I can access or people I allow?,,Medical-Complex,IoT-Complex,Hardware,Hide,0
R_5qaK1G3cf1n5Jn1,381,I'm not clear on why TEEs wouldn't be applied everywhere. Data breaches are becoming so common; what is the downside of using a TEE?,,Risk:General,,,,,,,,"Once again, what is the downside (if any) of using a TEE?",,,,,,,,,,,I don't have any feedback,,Medical-Complex,IoT-Complex,Hardware,Hide,1
R_25NMsbSseZxGszx,382,None,,,,,,,,,,None,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Show,0
R_7QatRifTVsNtw9W,383,N/a,,,,,,,,,,N/a,,,,,,,,,,,N/a,,Medical-Complex,IoT-Simple,Trust,None,0
R_7U58l0dDt0rvQrr,384,I think what made me unsure of safety are the words 'when other software on the computer is behaving maliciously.',Distrust:Vague,,,,,,,,,"Again, the words, 'when other software on the computer is behaving maliciously', makes me feel unsafe. ",,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,None,1
R_7PRxZJR79aOxswB,385,Nothing comes to mind.,,,,,,,,,,Nothing comes to mind.,,,,,,,,,,,Nothing comes to mind.,,Medical-Simple,IoT-Complex,Unsubstantial,Hide,0
R_81nscanoUCDrw9B,386,Understanding how my information would be used could be helpful,,,,,,,Scenario:Data,,,No questions at this point,,,,,,,,,,,,,Medical-Simple,IoT-Simple,None,None,1
R_3X6EJZMsrqGRyhO,387,,,,,,,,,,,the researchers can open the tee and use the data. so they can access the tee. it is possible someone with ill intent can steal the data,,Risk:People,,,,,,,,,,,Medical-Complex,IoT-Complex,None,Show,1
R_7OiQNKH5EorPgrv,388,"I feel I understood enough. More info is always more helpful, but there was a good amount there.",,,,,,,,,,Not now,,,,,,,,,,,,,Medical-Simple,IoT-Complex,None,Hide,1
R_1e7axH5nRjXpgJj,389,NA,,,,,,,,,,Maybe they could add more detailed information how they save data and protect it,,,,Gen:How?,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Hide,0
R_10U61XwpgeK3L2c,390,I have no other questions.,,,,,,,,,,No other questions.,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Show,1
R_2PiA8BsVIy2Rqq5,391,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,None,1
R_31636W8VIisYRzk,392,n/a,,,,,,,,,,n/a,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Show,1
R_29YQTPFrQaEGPSN,393,,,,,,,,,,,What exactly can be changed within the program and data,,,,Gen:Misc,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,None,0
R_3bQPiVdsmMAEo6J,394,None,,,,,,,,,,None,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Show,1
R_5CjDE3wo6YQxgk0,395,What kind of protections do TEE's give?,,,,Gen:What?,,,,,,No questions at this time.,,,,,,,,,,,,,Medical-Simple,IoT-Complex,None,None,1
R_3zjybtkKhUN0DmN,396,no,,,,,,,,,,no,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Hide,1
R_3iDvwjBt8r3GSQh,397,i dont have any questions.,,,,,,,,,,No other questions.,,,,,,,,,,,Great Survey! Very interesting!,,Medical-Simple,IoT-Complex,None,Show,0
R_5CytN6W5J7rroqd,398,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,None,1
R_2njwNgqTK9DmXBo,399,None,,,,,,,,,,I don't have any questions,,,,,,,,,,,"I always felt data on my phone is safe from hackers. Knowing it is probably by use of  a TEE was informative. I'm usually untrusting of giving my data away, but I'm sure data is always being taken without my knowledge anyways. ",,Medical-Simple,IoT-Simple,Hardware,Show,0
R_1cnqZx8E4s2KrVn,400,I don't think I have any.,,,,,,,,,,I don't think I have any.,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Show,0
R_8FLEkkZmLze3zNO,401,,,,,,,,,,,"There are no safeguards, regulations or standards. Even if there were, there is still not an agency responsible for oversight. So, the consumer is left to just trust that a corporation will safeguard their privacy, data and information? It’s laughable that people really believe that companies actually have altruistic policies. ",Distrust:Manufactuerer,,,,,,,,Guarantee:Cert,,,,Medical-Complex,IoT-Complex,None,None,0
R_6dMgwdTV7jrm2HL,402,no questions,,,,,,,,,,I don't have any questions about TEE's,,,,,,,,,,,none,,Medical-Complex,IoT-Simple,Unsubstantial,Hide,0
R_1QKm2BDvyTWFwsZ,403,When do hospitals or people decide when to use TEEs or not,,,,,,,Scenario:Misc,,,Which companies use TEEs,,,,,,Use:Real,,,,,,,Medical-Simple,IoT-Simple,None,Show,0
R_5hLpzqemwXgv0rC,404,None,,,,,,,,,,None,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Hide,1
R_7R9RZqHohjodqKL,405,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Trust,None,1
R_57drjoPwkXJvv0i,406,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,None,Show,1
R_5Vm0EWANqjMoKJ3,407,Non,,,,,,,,,,None,,,,,,,,,,,No,,Medical-Simple,IoT-Simple,Unsubstantial,Show,1
R_1dLUaIlnxXaypIP,408,None,,,,,,,,,,None,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Hide,1
R_75AgL4odiTMfqWY,409,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,None,1
R_20v0N65dLCOcAUh,410,Currently do not have any questions about TEEs.,,,,,,,,,,I currently do not have any questions about TEEs.,,,,,,,,,,,No feedback.,,Medical-Complex,IoT-Complex,Trust,None,0
R_3OQ8MuIpZKGwKm7,411,None,,,,,,,,,,None,,,,,,,,,,,Thank you for the learning experience. I hope whoever reads this has a great rest of their day.,,Medical-Complex,IoT-Complex,Hardware,Hide,1
R_5aqqXbZRRwy6B4k,412,I feel positive about the TEE itself and would like to see it utilized.,,,,,,,,,,N/A,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,None,1
R_5FWGDCrHvJCG573,413,n/a,,,,,,,,,,n/a,,,,,,,,,,,n/a,,Medical-Simple,IoT-Simple,Hardware,Show,0
R_7wbfseINWTZGAoL,414,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Hide,0
R_5zpU0uH9VTtEgtT,415,I still want to understand what ways they can or cannot be hacked by malevolent others.,,,,,,,,,,"I need more information about TEEs. I want to understand if they can be hacked, if data from them can appear on the dark web, and how predictable the encryption patterns are or aren't (if that even is an appropriate question to ask). ",,Risk:General,Risk:Hacking,Gen:Encryption,Gen:How?,,,,,,"This is a super interesting study! I am curious about more ways or examples that TEEs could be exemplified, particularly in explaining how they are (or aren't) impenetrable by hackers and other cyber attacks. ",,Medical-Simple,IoT-Complex,None,Show,0
R_7YSzTGMkZA9VitD,416,I don't really have any questions.,,,,,,,,,,None.,,,,,,,,,,,No.,,Medical-Complex,IoT-Complex,Unsubstantial,None,1
R_7oYii1LmVfBiDDX,417,None,,,,,,,,,,No,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Hide,1
R_1shU2dOtAd1ItNj,418,None,,,,,,,,,,I have an inherent distrust of AI and this type of information-collecting technology.,Distrust:Scenario,,,,,,,,,,I learned about TEEs for the first time.,,Medical-Complex,IoT-Complex,Hardware,Hide,0
R_2sc67ESgU29lsCl,419,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,None,Hide,0
R_5PoudNrvgTIfyIv,420,None,,,,,,,,,,None it’s just another program/ policy that if implemented correctly maybe good for the consumers but I have limited faith. It’s all legal jargon to cover corporate powers.,Distrust:Vague,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Show,0
R_5CvYWX49HUUeJtt,421,How effective are they at protecting information in the event of a data leak,,Risk:Fail,,,,,,,,How effective they are at protecting info in a data leak.,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Trust,None,1
R_1wLHVNbnO4cXAoR,422,Who are the authorized personnel that would have access to the information and change the program.,,,,,,,Scenario:People,,,Who has access to my data?,,,,,,,,,,,I have no questions at this time.,,Medical-Simple,IoT-Complex,Trust,None,1
R_33fZSKLxNjYY5Q1,423,"Without knowing the exact configuration and architecture of the TEE, among other unknown technical aspects, it is impossible to know how much safer it really makes things. Many exploits have existed in similar applications.",,Risk:Real,,Gen:Implementation,,,,,,"No question, other than I want to know the configuration of the TEE and the processor its running on.",,,,,,,,,,,Could have included more information about the TEE,,Medical-Simple,IoT-Simple,None,None,1
R_3f6D8oyw8TwAk5k,424,How do I keep my data completely confidential from everyone,,,,,,,,,,how do I keep my entire data confidential,,,,Gen:How?,,,,,,,,,Medical-Simple,IoT-Simple,None,None,0
R_3WLTmuiK2rWpqcV,425,N/A,,,,,,,,,,N/A,,,,,,,,,,,N/A,,Medical-Complex,IoT-Simple,Hardware,Hide,0
R_5EYhvMyhTa0JI3B,426,,,,,,,,,,,,,,,,,,,,,,"TEEs may work as they are designed, however it’s the human factor that makes the protected data vulnerable. Researchers who have access to the data are human and can ultimately misuse it for their own reasons.",,Medical-Simple,IoT-Complex,Unsubstantial,Show,0
R_80NV9dAxyo95hse,427,no questions,,,,,,,,,,no questions,,,,,,,,,,,No feedback,,Medical-Complex,IoT-Complex,None,Show,1
R_2JLujRaJB3zW7yU,428,"Overall I feel that the information about TEEs is clear, but the different softwares involved make it more complicated; hard to follow.",,,,Gen:Untechnical,,,,,,I feel that I have a fairly good idea about TEEs.,,,,,,,,,,,Great study with an interesting premise!,,Medical-Complex,IoT-Complex,Unsubstantial,Show,1
R_2YRjZaUtsg2fj9O,429,Is the goal to somehow use TEEs as a marketing element? Sounds like a stretch of purpose to me.,,,,,,,,,,"How is the code declared trusted? Is there independent review? Key escrow? There is still a lot of ""blind trust"" in your description of a TEE.",Distrust:TEE,,,,,,,,Guarantee:General,,"It appears that researchers may be over-stating the benefits and protections of TEEs, or perhaps they are trying to see if people are over-influenced by such language. ",,Medical-Complex,IoT-Complex,Unsubstantial,Hide,0
R_11Nwa5gLTmWXkn5,430,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,None,Show,0
R_2WvAcPCguhYCLwl,431,None.,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,None,0
R_8poqwBt5UTiIpXp,432,How many known programs have been able to emulate a trusted application to mimic and allow access that should be denied?,,,,,,Use:Breaches,,,,This application almost seems like it would be overkill to implement a TEE for data protection.  I would imagine that standard data security procedures would be enough for this.,,,,Gen:Misc,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Hide,1
R_80pFJzaj9s58GF7,433,N/A,,,,,,,,,,I would like to learn more about TEEs to accurately judge just how secure this process truly is.,,,,Gen:How?,,,,,,,N/A,,Medical-Simple,IoT-Complex,Unsubstantial,None,0
R_1QU66JPD2Sy0dJ7,434,Are TEEs vulnerable to zero day exploits or viruses and attacks that target virtual machines and isolated systems?,,Risk:General,,Gen:Tech,,,,,,None,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Hide,1
R_27j81arMXdtU0PW,435,,,,,,,,,,,how about quantum computers,,,,Gen:Misc,,,,,,,,,Medical-Simple,IoT-Simple,None,Show,0
R_1yrJKqGsDYtuYTv,436,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Hide,1
R_7fmYQSc1vO0vkWt,437,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,None,1
R_2Hk3tr3wUA8Njw6,438,NA,,,,,,,,,,NA,,,,,,,,,,,"Overall, the protections offered by TEEs are a significant advancement in data security. However, the effectiveness of these protections depends on correct implementation, user education, and continuous improvement. Surveys like this are valuable for understanding user concerns and guiding future developments in TEE technology.
",,Medical-Complex,IoT-Complex,None,Show,1
R_5WAPGDHtzOqBfnX,439,,,,,,,,,,,What exactly makes it less prone to data breeches?,,Risk:General,,Gen:How?,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,None,0
R_20IimbcslKBs9e9,440,No questions at the moment.,,,,,,,,,,None at the moment.,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Show,0
R_5DJtqtTZ57zjbR7,441,Still want to known about the “stored separately” quantity,,,,Gen:Isolation,,,,,,Not sure the isolation is good enough to secure data,Distrust:TEE,,,,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,None,1
R_2rP9Bf9tnzToq39,442,Although both could be detrimental Personal data and health data are two separate concerns of mine?,,,,,,,Scenario:Data,,,Even if the data is safe now in our current climate who knows how safe the data will be in the future?,Distrust:Vague,,,,,,,,,,Thank you,,Medical-Complex,IoT-Complex,None,Show,0
R_5CeUWSrEuFGhVRC,443,What makes it different from the built in safety measures of the computer.,,,,Gen:Tech,,,,,,"I want to know specifics, like the technical side of how it is safe even if the computer is compromised.",,,,Gen:Implementation,Gen:Isolation,,,,,,Great survey! looking forward to more!,,Medical-Simple,IoT-Simple,Trust,None,1
R_7E25JM6lhLt4kM1,444,No questions,,,,,,,,,,No questions.,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Show,1
R_5CJLpfFgeFRhDO5,445,I don't have any additional questions.,,,,,,,,,,I have no questions about TEEs.,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Hide,1
R_7jv62qaMdTS9Ssn,446,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,None,Hide,1
R_2jPgy2o7dhfyL9n,447,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Hide,0
R_5JahoonT2AMp8I1,448,n/a,,,,,,,,,,n/a,,,,,,,,,,,n/a,,Medical-Complex,IoT-Complex,Trust,Show,1
R_81lgWqsHMwj4enD,449,Would the people in the research team be under contract to not leak any personal information?,,,,,,,Scenario:People,,,"Don't have any questions, just unsure if they can be completely safe.",Distrust:Vague,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,None,1
R_5P6SFIavR4ABtlY,450,"None, that was a good description in the above text.",,,,,,,,,,None,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,None,1
R_7rDvZHB9ez4IDs1,451,How do these differ from a virtual machine or running the program in a sandbox environment?,,,,Gen:Tech,,,,,,I do not have further questions at the moment.,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Hide,1
R_2U4t6crFXgDhE6k,452,In a real world scenario I would probably feel more safe sharing my information if I knew which company of researchers was collecting my data for the hospital.,,,,,,,Scenario:People,,,The only portion of the question and scenario that feels unsafe or rather worrisome is the desire to collect information on my address. Unless explained why that information is needed it comes off as a too personal of information to share with a company over a lightbulb. The TEE itself and the description of what it provides in terms of protected data and how it works sounds perfectly safe.,,,,,,,Scenario:Data,,,,I have no further feedback.,,Medical-Simple,IoT-Simple,Unsubstantial,Show,0
R_7daIzbWGhqb7vZi,453,Who owns and controls the data the hospital or the medical institute or the AI company.,,,,,,,Scenario:Data,,,,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Hide,1
R_7t9TraIlqoFWFat,454,None,,,,,,,,,,None,,,,,,,,,,,No,,Medical-Complex,IoT-Simple,Unsubstantial,Show,1
R_5jDQGrEz2j46YVb,455,n/a,,,,,,,,,,n/a,,,,,,,,,,,n/a,,Medical-Simple,IoT-Simple,Hardware,Hide,1
R_3JZRK4A5GVZXhi9,456,None,,,,,,,,,,None,,,,,,,,,,,None,,Medical-Simple,IoT-Simple,Trust,Hide,1
R_15TsxcbH10l6kq5,457,None,,,,,,,,,,None,,,,,,,,,,,None,,Medical-Complex,IoT-Complex,Hardware,None,0
R_2nr9GJdLi700Prb,458,The elusive TEE remains unexplained...,,,,,,,,,,"TEE completely unexplained, I have no idea what impact it has on safety. Not having available option to select ""unsure/don't know"" probably invalidates results",,,,Gen:What?,,,,,,,"Not sure if TEEs was explained and I missed it, or if this was all part of the study?",,Medical-Complex,IoT-Complex,None,None,0
R_58zFKBIJGj3Gnio,459,No,,,,,,,,,,None,,,,,,,,,,,,,Medical-Simple,IoT-Complex,None,Show,0
R_3j71REwxc60rkLh,460,No questions.,,,,,,,,,,What strategies are going to be implemented to insure a very low probability that the system will be not hacked?,,Risk:Hacking,,,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,None,0
R_1OxlOWvHeLPEQBv,461,It seems safe but I know nothing is 100% which is why I chose the answers I did.,Distrust:Vague,,,,,,,,,None,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Trust,Hide,1
R_1Uc7Ugz57JHI7Hk,462,N/a,,,,,,,,,,N/A,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Hide,0
R_259y0EzF7o6ODfP,463,none,,,,,,,,,,none,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Show,0
R_2xWbzgIVcx8CvI8,464,i think i understand.,,,,,,,,,,generally technology makes me feel more safe. i like that the information is protected by a tee.,,,,,,,,,,,thank you :),,Medical-Complex,IoT-Simple,Unsubstantial,None,0
R_3XpX69wiO1joU3n,465,I'd like to know if a TEE has ever been compromised and what was the circumstances that led to the compromise.,,,,,,Use:Breaches,,,,"I liked the first scenario and the ""real world"" example as to how a TEE is used in an Android phone. The one thing that got me stumped was the use of SGX, I have no idea what that is and I couldn't find an explanation in the information provided.",,,,Gen:Misc,Gen:Untechnical,,,,,,"I found this very informative and enjoyed the study. I really want to know if a TEE has ever been compromised, so I will be looking that up.",,Medical-Complex,IoT-Simple,Hardware,Show,0
R_1Cl20FydBDOpFZ9,466,No questions,,,,,,,,,,no questions,,,,,,,,,,,No feedback,,Medical-Simple,IoT-Simple,Trust,Show,0
R_58JahOiJ0YHqcdy,467,I think explaining the limits and issues of those who access the information would be helpful.,,,,Gen:Misc,,,,,,Nothing else,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,None,1
R_7rjufige301IWaF,468,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,Medical-Complex,IoT-Complex,None,None,1
R_3PpyETNMNAoMvo2,469,"None, I feel like it is something that can be trusted.",,,,,,,,,,"None, though I would like to know why the name or address matter at all for lights data",,,,,,,Scenario:Data,,,,None,,Medical-Complex,IoT-Simple,None,Hide,1
R_2C9AGhafKeCFiIV,470,nothing comes to mind,,,,,,,,,,nothing comes to mind,,,,,,,,,,,"not really, I feel I need to research TEEs to learn what this would mean for me",,Medical-Simple,IoT-Simple,Hardware,Show,0
R_51gILf07pcgGMIG,471,,,,,,,,,,,Reminds me of the movie The Net.,Distrust:Vague,,,Gen:Misc,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Show,0
R_7f8QCw4hLAdoHM2,472,None,,,,,,,,,,I was confused about the TrustZone and SGX examples - do those exist currently and is one better than the other?,,,,Gen:Misc,,Use:Real,,,,,,,Medical-Complex,IoT-Complex,Hardware,Hide,0
R_6zhy4vJjoVSghRv,473,none,,,,,,,,,,none,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,Hide,1
R_20q4QPdULShNl7J,474,None,,,,,,,,,,none,,,,,,,,,,,No,,Medical-Simple,IoT-Complex,None,None,1
R_1pJJiGeAHpB8TuB,475,N/a,,,,,,,,,,I want to know what makes it un hackable.,,Risk:Hacking,,Gen:How?,,,,,,,N/a,,Medical-Complex,IoT-Simple,Trust,Show,0
R_3qJQk2dkarfyoZh,476,None,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Show,1
R_7C6nvDxRShMcA1P,477,Only the same question I had before.,,,,,,,,,,Why aren’t TEES in more programs if they’re so great?,Distrust:Vague,,,,,Use:Real,,,,,N/A,,Medical-Complex,IoT-Simple,Trust,None,0
R_5kZVczZuKhn0j5n,478,No questions,,,,,,,,,,How long has this TEE been in the making and how long has it been tested and is it safe to bring ok the market,,,,,,Use:New,,,Guarantee:Testing,,,,Medical-Complex,IoT-Complex,Unsubstantial,Hide,0
R_2MA4GFZM0SlJGrE,479,None,,,,,,,,,,None,,,,,,,,,,,No,,Medical-Complex,IoT-Simple,Trust,None,1
R_8EMAASHWm1eOChr,480,I feel like one would need a more in depth explanation about how TEEs work.,,,,Gen:How?,,,,,,NA,,,,,,,,,,,,,Medical-Complex,IoT-Complex,None,Hide,1
R_7N8016YJaAzPusp,481,How is data protected from future research projects that may not be as ethical.,,,,,,,Scenario:Future,,,Are there any ways around the stated safeguards.  Can a TEE be compromised?,,Risk:General,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,None,0
R_53rUkAsbSdlf58c,482,I have none so far,,,,,,,,,,"So far I don’t have any questions, i seem to trust them more knowing they’re currently in almost every device we use, everyday",,,,Gen:Misc,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Show,0
R_6Qtlh3JgrcbbJcc,483,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,None,None,0
R_1Cx48mmwendGAgj,484,Would like a more understandable summary as well as examples where they have succeeded and failed if available).,,,,Gen:Untechnical,,Use:Real,,,,Same as first scenario.,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,Show,1
R_5wSVhJrI9bSIPwl,485,no questions,,,,,,,,,,no,,,,,,,,,,,no,,Medical-Complex,IoT-Complex,Hardware,Hide,1
R_2TATje6AHBGtFMQ,486,"same as before.  ability to delete, retention policy.  ",,,,,,,,,,is data kept indefinitely? can I request deletion of my history?,,,,,,,Scenario:Data,,,,"i understand the concept, but I’m always leery of claims something is completely secure.  ",,Medical-Simple,IoT-Complex,Unsubstantial,None,0
R_2OE40tXyuj8KoRr,487,None,,,,,,,,,,None,,,,,,,,,,,None,,Medical-Simple,IoT-Simple,Hardware,None,1
R_2zIvNAAjXnTbRxD,488,No questions,,,,,,,,,,No questions.,,,,,,,,,,,No,,Medical-Simple,IoT-Simple,Trust,Hide,1
R_7D2j6sji7kzsfT9,489,No questions,,,,,,,,,,I have no questions.,,,,,,,,,,,No other thoughts,,Medical-Complex,IoT-Complex,Unsubstantial,Hide,0
R_2QKlaRJVizoprdb,490,"None, really.",,,,,,,,,,None.,,,,,,,,,,,"TEEs are an interesting development, that's all.",,Medical-Complex,IoT-Complex,Hardware,Show,1
R_3pmttqgW1ZQvUMO,491,I don’t think anything further would bring my assurance levels any higher.,,,,,,,,,,I don’t have further questions at this time,,,,,,,,,,,I don’t have any at this time,,Medical-Simple,IoT-Complex,Hardware,Hide,1
R_57zqWdN7PF5L1mN,492,N/A,,,,,,,,,,"Need more information, never heard of a TEE. Would like to hear instances when a TEE would be used.",,,,Gen:How?,,Use:Real,,,,,N/A,,Medical-Complex,IoT-Complex,Unsubstantial,None,0
R_81Mc0ZltMOJAKbn,493,Whether or not TEE is an open-sourced method or a closed-sourced method.,,,,,,,,,,Whether or not this method is an open-sourced method or a closed-sourced method.,,,,Gen:Open Source,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Hide,0
R_7ErRM0QrKAmPNlS,494,Does the research team get thorough background checks?,,,,,,,Scenario:People,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,None,Show,0
R_8FfAfEhsQYBPKY1,495,"Prior to searching an explanation for myself, i had no idea what a TEE was or how it protected my data",,,,Gen:What?,,,,,,none,,,,,,,,,,,,,Medical-Simple,IoT-Simple,None,None,1
R_3agQzmIw7YgMYjT,496,Security for TEE access?,,,,Gen:Misc,,,,,,Nothing right now.,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Hide,1
R_2k1i2ZlnFR3d8Ik,497,What protections are in place to keep from getting hacked?,,Risk:Hacking,,,,,,,,None.,,,,,,,,,,,"A little more information to consumers about how TEE works in regard to safety would be good I think. You all do describe who and how the information is protected as far as who it goes to, but what keeps it truly safe? Thanks!",,Medical-Complex,IoT-Complex,None,None,1